uuid,ocdid,state,name
0059017d-9492-5af9-b916-4683b4049330,ocd-division/country:us/state:wa/county:king/council_district:3,wa,King County WA County Council District 3
dc62f240-42b9-5ea4-947e-acc76373d127,ocd-division/country:us/state:wa/county:king/council_district:4,wa,King County WA County Council District 4
6b287fb1-4bd6-5319-a0e0-0aa2d9cfa847,ocd-division/country:us/state:wa/county:king/council_district:5,wa,King County WA County Council District 5
bf1d4c27-4c6a-51cd-934c-f91811750f77,ocd-division/country:us/state:wa/county:king/council_district:6,wa,King County WA County Council District 6
60f8e4eb-5b62-5bf3-9396-57981e4fb43e,ocd-division/country:us/state:wa/county:king/council_district:7,wa,King County WA County Council District 7
81840544-2221-5b90-9595-2a7d2b973078,ocd-division/country:us/state:wa/county:king/council_district:8,wa,King County WA County Council District 8
28d6bf1a-74e0-5a54-bf3c-187907f74134,ocd-division/country:us/state:wa/county:king/council_district:9,wa,King County WA County Council District 9
cd848304-544f-58c9-9b78-6de57aafbec9,ocd-division/country:us/state:wa/county:kitsap/council_district:1,wa,Kitsap County WA County Commissioner District 1
8026ea86-9a4f-5546-a073-adea9839af81,ocd-division/country:us/state:wa/county:kitsap/council_district:2,wa,Kitsap County WA County Commissioner District 2
8c48a3bf-5de6-54b7-a0d0-c5dda9cf4951,ocd-division/country:us/state:wa/county:kitsap/council_district:3,wa,Kitsap County WA County Commissioner District 3
de58489e-8d10-5dbd-a19f-227a035dfe05,ocd-division/country:us/state:wa/county:kittitas/council_district:1,wa,Kittitas County District 1
742df192-aa16-5154-8bdf-7276d4fa2cd2,ocd-division/country:us/state:wa/county:kittitas/council_district:2,wa,Kittitas County District 2
6c9b053a-cd1c-583b-8212-de39fa5ef461,ocd-division/country:us/state:wa/county:kittitas/council_district:3,wa,Kittitas County District 3
04a5226a-ffa5-5beb-940b-d8876c40c0c0,ocd-division/country:us/state:wa/county:klickitat/council_district:1,wa,Klickitat County District 1
21a96bed-41f5-58ec-815c-9f139c13f2b6,ocd-division/country:us/state:wa/county:klickitat/council_district:2,wa,Klickitat County District 2
8e133b62-e15b-5a8c-aa3b-5d17d5d3ca42,ocd-division/country:us/state:wa/county:klickitat/council_district:3,wa,Klickitat County District 3
c5a285e9-7c97-5790-9b0c-92a264a0c84a,ocd-division/country:us/state:wa/county:lewis/council_district:1,wa,Lewis County District 1
1f98f00b-b9ee-5ff7-b590-644dca232b96,ocd-division/country:us/state:wa/county:lewis/council_district:2,wa,Lewis County District 2
7924ec9b-9016-5fb0-9169-b11c7b90e299,ocd-division/country:us/state:wa/county:lewis/council_district:3,wa,Lewis County District 3
6fd734ff-ca2a-584b-a11e-f7fb2329c9e7,ocd-division/country:us/state:wa/county:lincoln/council_district:1,wa,Lincoln County District 1
f8dad0c8-40cb-58fa-b6eb-ffc697347633,ocd-division/country:us/state:wa/county:lincoln/council_district:2,wa,Lincoln County District 2
9d0b4caf-3e38-53e9-993a-f9db323a3161,ocd-division/country:us/state:wa/county:lincoln/council_district:3,wa,Lincoln County District 3
7b7e17d8-14a5-5822-83f5-ea9d853e7aa3,ocd-division/country:us/state:wa/county:mason/council_district:1,wa,Mason County District 1
ff036d20-2fe2-5772-921e-d3204ad076d1,ocd-division/country:us/state:wa/county:mason/council_district:2,wa,Mason County District 2
e2ba8092-3eca-5588-b636-33dd018e45f1,ocd-division/country:us/state:wa/county:mason/council_district:3,wa,Mason County District 3
499c0bcd-02dd-551b-b8b7-19ea16c320a4,ocd-division/country:us/state:wa/county:okanogan/council_district:1,wa,Okanogan County District 1
f37e8cfd-5c54-51e1-b7fe-70c51041337c,ocd-division/country:us/state:wa/county:okanogan/council_district:2,wa,Okanogan County District 2
d3b50380-e00d-5a4d-be79-81af90806c23,ocd-division/country:us/state:wa/county:okanogan/council_district:3,wa,Okanogan County District 3
8c8f891f-f276-5f77-b9b0-5b863ee3fbbc,ocd-division/country:us/state:wa/county:pacific/council_district:1,wa,Pacific County District 1
41a5c140-e4a6-5616-acbb-14def8c58b18,ocd-division/country:us/state:wa/county:pacific/council_district:2,wa,Pacific County District 2
df925bbc-4243-5332-a570-5050b12c2bda,ocd-division/country:us/state:wa/county:pacific/council_district:3,wa,Pacific County District 3
052594c2-f61c-5ef1-b3ce-2c5c64437e8f,ocd-division/country:us/state:wa/county:pend_oreille/council_district:1,wa,Pend Oreille County District 1
bfdcc960-82d0-5216-be17-c3fb541e52d5,ocd-division/country:us/state:wa/county:pend_oreille/council_district:2,wa,Pend Oreille County District 2
c4423747-0e62-5b96-8e11-2855b34db586,ocd-division/country:us/state:wa/county:pend_oreille/council_district:3,wa,Pend Oreille County District 3
